country,weight,dem_satisfied,press_freedom_imp,econ_good,religion_important,age_group,gender
Canada,1.5552670299783264,1,1,0,1,30–49,Male
Canada,1.2020688731983342,NA,1,0,0,18–29,Male
Canada,0.8457973644009028,1,1,0,1,50–64,Female
Canada,1.7069121012315243,1,1,0,1,50–64,Female
Canada,1.256067296805923,1,1,1,1,65+,Female
Canada,0.4425328380450428,1,1,NA,0,65+,Male
Canada,0.32162671626505945,0,1,0,1,65+,Female
Canada,0.3458364121581076,0,1,0,0,65+,Female
Canada,0.614671567809569,0,1,0,1,18–29,Male
Canada,1.1788793895433858,0,1,0,1,50–64,Female
Canada,0.2586257572653976,1,1,1,0,65+,Male
Canada,0.8520780773054397,1,1,0,1,65+,Female
Canada,1.406256442152467,0,1,0,1,50–64,Female
Canada,0.4687826387383661,1,0,1,1,65+,Female
Canada,0.33707181438961387,1,0,0,0,65+,Male
Canada,1.2724895474360594,0,1,0,0,18–29,Male
Canada,0.3745941503543139,0,1,0,0,65+,Male
Canada,0.2586257572653976,1,1,1,0,30–49,Male
Canada,1.2676706738541412,1,1,0,0,50–64,Female
Canada,0.6961744817527583,1,1,1,1,50–64,Female
Canada,0.9870570357179722,0,1,0,1,18–29,Male
Canada,2.2405816989931497,0,1,0,1,65+,Female
Canada,0.2978534644855692,1,1,0,0,30–49,Male
Canada,0.48143957613620253,0,1,0,0,18–29,Male
Canada,0.2905688242320123,0,1,0,1,65+,Male
Canada,0.6775728248744747,1,1,0,1,65+,Female
Canada,0.3045591366895897,0,1,1,1,65+,Female
Canada,0.28337633330393946,0,1,1,0,18–29,Male
Canada,0.4448970158352401,1,1,0,0,65+,Female
Canada,0.2586257572653976,1,1,1,0,65+,Male
Canada,0.4448970158352401,1,1,1,0,50–64,Female
Canada,0.2586257572653976,1,1,1,1,65+,Male
Canada,0.42496637104414786,1,1,0,0,65+,Female
Canada,0.4448970158352401,1,1,1,1,65+,Female
Canada,0.6749480122166265,1,1,1,1,65+,Male
Canada,0.7680004095496669,1,1,0,0,65+,Male
Canada,0.2759781583187866,1,1,1,1,65+,Male
Canada,0.6941097100880104,0,1,0,0,50–64,Male
Canada,1.5473701059064737,0,1,0,0,65+,Female
Canada,1.3064018525180863,0,1,0,0,18–29,Male
Canada,0.3061688779882301,1,1,0,1,65+,Male
Canada,0.47972846936828367,1,1,1,0,65+,Male
Canada,1.0023599056416372,1,1,1,1,50–64,Male
Canada,0.516098878606357,0,1,0,0,65+,Female
Canada,0.5551003080920238,0,1,0,1,65+,Male
Canada,0.26778779668223257,0,1,NA,0,65+,Male
Canada,0.2586257572653976,1,1,1,0,65+,Male
Canada,0.31943752478365395,0,1,0,0,65+,Male
Canada,0.2995800657975526,1,1,0,0,65+,Female
Canada,0.9452240578078517,1,1,NA,NA,18–29,Male
Canada,0.975517880704439,1,1,0,1,65+,Female
Canada,1.0405415126166166,1,1,1,0,65+,Male
Canada,0.7326701907917621,1,1,1,0,50–64,Female
Canada,0.34479007523333294,0,1,0,1,50–64,Female
Canada,0.5735502426402799,1,1,1,1,65+,Female
Canada,0.49505334950157803,0,1,0,1,65+,Female
Canada,0.3799855607168166,0,0,1,0,65+,Male
Canada,0.9730558937908044,0,1,0,1,65+,Female
Canada,2.4325693241470625,1,1,1,0,65+,Female
Canada,2.0088194991550514,0,1,0,1,65+,Female
Canada,0.5184564925034584,1,1,1,0,65+,Male
Canada,0.7326701907917621,0,1,0,0,65+,Female
Canada,0.2680396404326985,0,1,1,0,65+,Male
Canada,0.2995800657975526,1,1,0,1,65+,Female
Canada,0.3926316893479815,0,1,1,0,65+,Male
Canada,1.033429368318385,1,1,1,1,65+,Female
Canada,0.6126500142242781,1,1,1,1,50–64,Female
Canada,0.7345239634611946,1,1,1,0,65+,Female
Canada,0.4449995083624077,1,1,1,0,50–64,Male
Canada,0.6775728248744747,1,1,0,1,50–64,Female
Canada,0.27635219755393686,1,1,1,0,65+,Female
Canada,0.6707424656398983,1,1,0,1,30–49,Female
Canada,0.2586257572653976,1,1,1,0,65+,Male
Canada,0.712429793567728,1,1,1,0,50–64,Male
Canada,0.45468185540301037,1,1,1,0,50–64,Male
Canada,2.4325693241470625,1,NA,1,1,50–64,Female
Canada,0.2586257572653976,1,1,0,0,65+,Female
Canada,1.0880656581969204,1,1,1,1,65+,Female
Canada,0.2586257572653976,0,1,0,0,65+,Male
Canada,1.1464817074858593,1,1,0,1,65+,Female
Canada,0.9626721453330416,1,1,1,0,65+,Male
Canada,0.26778779668223257,0,1,1,0,50–64,Male
Canada,0.791817958562978,0,1,0,1,65+,Female
Canada,1.2932681850242758,1,1,1,1,65+,Female
Canada,0.6011679586581792,1,1,1,1,65+,Female
Canada,0.7062052472679979,0,1,0,1,30–49,Male
Canada,0.5509028241623489,1,1,0,0,65+,Female
Canada,0.4448970158352401,0,1,0,1,65+,Female
Canada,0.41040203287204713,0,1,0,1,50–64,Female
Canada,0.849927624589795,0,1,0,0,65+,Female
Canada,0.27635219755393686,0,1,0,0,65+,Female
Canada,0.6571917211220117,1,1,1,0,65+,Male
Canada,0.3336701920679856,0,1,0,1,65+,Female
Canada,0.6961744817527583,0,1,1,0,65+,Female
Canada,0.2586257572653976,1,1,0,1,65+,Male
Canada,0.9626721453330416,0,1,0,0,50–64,Male
Canada,0.3045591366895897,1,0,1,1,65+,Female
Canada,0.2905688242320123,1,1,1,NA,65+,Male
Canada,0.4448970158352401,0,1,1,0,65+,Female
Canada,0.47032727055215084,1,1,0,1,30–49,Male
Canada,0.47972846936828367,0,1,0,1,65+,Male
Canada,0.681349603977138,1,1,1,1,50–64,Female
Canada,1.2622010174450764,0,1,0,1,65+,Female
Canada,0.8479373668982206,0,1,0,0,50–64,Female
Canada,0.7345239634611946,1,1,0,1,50–64,Female
Canada,0.2586257572653976,1,1,1,1,65+,Female
Canada,0.6758627840224595,0,1,0,1,50–64,Female
Canada,0.6749480122166265,NA,1,1,0,50–64,Male
Canada,0.637125162733314,1,0,1,0,65+,Male
Canada,0.6787966622035231,0,1,0,0,65+,Male
Canada,1.1788793895433858,0,1,0,1,50–64,Female
Canada,0.47972846936828367,0,1,0,0,65+,Male
Canada,0.6355172026497287,0,1,0,0,50–64,Male
Canada,0.3336701920679856,1,1,0,1,65+,Female
Canada,0.637125162733314,0,1,0,1,50–64,Male
Canada,0.6941097100880104,1,1,1,0,50–64,Male
Canada,0.5538004413435949,1,1,0,0,65+,Male
Canada,0.2586257572653976,1,1,1,0,30–49,Male
Canada,0.40480814705418006,1,1,1,0,65+,Female
Canada,0.3253986152719402,0,1,0,0,30–49,Male
Canada,0.49168370848370646,1,1,0,0,50–64,Male
Canada,0.2586257572653976,0,1,1,0,65+,Male
Canada,0.3045591366895897,0,1,0,1,65+,Female
Canada,1.4702508386042963,0,1,0,NA,65+,Female
Canada,0.44875842572401864,0,1,1,1,65+,Male
Canada,0.5485138187309999,0,1,1,0,30–49,Female
Canada,0.9925269354088226,1,1,0,0,65+,Female
Canada,0.9313735381951618,1,1,1,1,65+,Female
